,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
1124,1124,BENA,35.30659054,-118.6491567,2020,7,1162.89,69.21,1
1247,1247,BENTON,33.604,-117.057,1988,9,553.05,0.0,0
1619,1619,BERNARDO,33.0,-117.157,2014,5,616.05,5.13,0
225,225,BERRYESSA,38.529,-122.244,2000,6,1954.08,96.57,0
1359,1359,BICHOTA COMPLEX (BICHOTA),34.274,-117.824,1996,6,466.92,129.15,0
1,1,BIDWELL,39.784,-121.696,1984,7,2432.25,46.08,0
30,30,BIG,39.041,-120.558,1987,8,424.44,166.86,0
206,206,BIG BAR COMPLEX (ONION),40.883,-123.388,1999,8,6776.19,576.9,0
768,768,BIG CREEK,37.214,-119.273,1994,8,2186.19,867.96,0
987,987,BIG MEADOW,37.731,-119.757,2009,8,3170.25,1144.08,10
650,650,BIG SANDY,35.994,-120.575,1985,7,1270.17,20.79,0
883,883,BIRCH,37.539,-118.663,2002,7,1041.03,316.71,0
890,890,BIRD,37.551,-121.335,2003,6,3124.44,202.77,1
1455,1455,BISCUIT COMPLEX (BISCUIT),42.441,-123.904,2002,7,11992.5,5647.05,2
261,261,BLACK,40.611,-120.52,2002,7,686.34,149.67,0
1200,1200,BLACK MOUNTAIN,34.43,-119.22,1985,7,506.07,10.98,0
27,27,BLACKS,40.624,-120.45,1987,6,459.9,0.0,1
1655,1655,BLAINE,33.984,-117.29,2017,8,452.43,7.29,0
1507,1507,BLAISDELL,33.868,-116.638,2005,8,2160.27,1.17,1
43,43,BLAKE,40.588,-123.555,1987,8,615.51,395.19,0
188,188,BLOOMER,39.645,-121.476,1999,8,1138.14,229.59,0
496,496,BLUE,40.392,-123.189,2015,7,1214.91,431.64,0
1191,1191,BLUE,34.905,-119.286,1984,8,800.82,58.41,1
252,252,BLUE COMPLEX (BLUE),41.182,-120.246,2001,8,12392.46,3651.75,0
1644,1644,BLUE CUT,34.324,-117.506,2016,8,14914.8,99.18,0
636,636,BLUE RIDGE,36.314,-118.869,1984,8,634.05,12.15,0
